.59,11.41
1.18,0.08,11.34
1.10,0.08,11.57
1.10,0.16,12.28
1.49,0.20,10.75
0.94,0.78,10.98
0.98,0.08,11.10
1.14,-0.16,11.89
1.29,0.00,11.61
1.10,-0.24,11.65
1.18,0.20,11.18
1.45,0.24,11.14
1.06,-0.55,11.89
1.26,0.98,10.63
1.14,0.59,11.14
0.86,0.75,10.98
1.37,0.47,11.10
1.33,0.35,12.04
1.02,0.20,12.24
0.98,-0.20,11.18
1.10,-0.16,11.61
0.90,0.47,11.02
1.18,0.12,11.06
1.26,0.27,10.87
1.22,0.12,12.08
1.06,0.86,10.08
1.18,0.20,10.98
1.02,0.82,10.12
1.33,0.27,10.63
1.06,0.20,11.34
1.14,0.04,11.34
1.06,0.27,11.30
1.22,0.20,11.34
1.22,0.27,11.02
1.06,0.31,11.41
1.41,1.10,10.28
3.73,3.37,2.35
2.47,0.43,10.87
0.63,-1.29,7.30
-0.55,8.47,0.71
1.92,-0.16,18.04
-0.27,-0.43,18.01
2.59,-1.06,3.84
1.57,2.12,8.00
0.59,-1.65,15.89
1.41,0.82,11.18
1.10,0.78,9.30
1.26,1.06,9.65
1.18,0.27,11.45
1.18,0.16,10.90
1.18,0.35,10.90
1.10,0.20,11.22
1.02,0.51,11.49
1.29,0.20,10.94
1.10,0.27,11.73
1.22,0.51,10.67
0.94,0.35,11.30
1.14,0.12,11.30
0.98,0.35,11.10
1.18,0.27,11.14
1.33,0.04,11.53
1.18,0.12,9.77
1.41,1.45,7.61
0.75,-0.08,10.20
1.69,1.29,8.36
0.51,0.39,11.18
1.65,-0.27,10.08
1.65,-0.04,10.94
1.10,0.43,10.24
1.10,0.51,11.77
0.63,0.27,11.30
1.06,0.12,11.85
1.06,0.39,10.98
1.10,0.63,11.38
1.14,0.71,11.96
0.94,0.00,10.40
0.94,0.59,11.30
1.22,0.43,11.77
0.98,0.55,10.94
1.10,0.35,11.34
1.18,0.20,11.38
1.14,0.51,11.65
1.14,0.39,11.14
1.18,0.24,11.02
1.10,0.51,11.41
0.90,-0.16,11.69
1.18,0.20,11.81
1.29,0.35,10.98
1.18,0.08,11.34
1.18,0.43,11.18
1.18,-0.20,11.61
1.06,0.31,11.53
1.10,0.04,11.57
1.22,0.43,10.75
1.26,0.51,10.87
1.22,0.31,11.10
1.10,0.39,11.06
1.10,0.35,11.30
0.94,0.00,11.57
1.22,0.27,11.69
1.14,0.31,11.14
1.06,0.47,11.26
1.22,0.27,11.10
1.06,0.27,11.57
1.14,0.16,11.30
1.10,0.00,11.69
1.18,0.59,11.22
1.10,0.16,11.53
1.06,0.39,11.41
1.10,0.35,11.22
1.06,0.24,11.57
1.14,0.27,11.26
1.10,0.35,11.26
1.18,0.39,11.34
1.10,0.24,11.49
1.14,0.24,11.49
1.14,0.27,11.14
1.02,0.20,11.49
1.06,0.43,11.30
1.10,0.27,11.10
